Unnamed: 0,names,rates,director,actors
0,Dil Bechara,9.1,Mukesh Chhabra,"Sushant Singh Rajput, Sanjana Sanghi, Sahil Vaid, Saswata Chatterjee"
1,The Umbrella Academy,8.0,,"Ellen Page, Tom Hopper, David Castañeda, Emmy Raver-Lampman"
2,The Kissing Booth 2,6.0,Vince Marcello,"Joey King, Joel Courtney, Jacob Elordi, Molly Ringwald"
3,Cursed,5.8,,"Katherine Langford, Devon Terrell, Gustaf Skarsgård, Daniel Sharman"
4,Dark,8.8,,"Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne"
5,The Old Guard,6.7,Gina Prince-Bythewood,"Charlize Theron, KiKi Layne, Matthias Schoenaerts, Marwan Kenzari"
6,After We Collided,,Roger Kumble,"Josephine Langford, Hero Fiennes Tiffin, Louise Lombard, Dylan Sprouse"
7,Yellowstone,8.5,,"Kevin Costner, Luke Grimes, Kelly Reilly, Wes Bentley"
8,The Kissing Booth,6.0,Vince Marcello,"Joey King, Jacob Elordi, Joel Courtney, Megan du Plessis"
9,Perry Mason,7.4,,"Matthew Rhys, Juliet Rylance, Chris Chalk, Tatiana Maslany"
10,365 dni,3.3,,"Anna Maria Sieklucka, Michele Morrone, Bronislaw Wroclawski, Otar Saralidze"
11,Game of Thrones,9.3,,"Emilia Clarke, Peter Dinklage, Kit Harington, Lena Headey"
12,Greyhound,7.1,Aaron Schneider,"Tom Hanks, Elisabeth Shue, Stephen Graham, Matt Helm"
13,The Boys,8.7,,"Karl Urban, Jack Quaid, Antony Starr, Erin Moriarty"
14,Palm Springs,7.5,Max Barbakow,"Andy Samberg, Cristin Milioti, J.K. Simmons, Peter Gallagher"
15,The Rental,5.8,Dave Franco,"Dan Stevens, Alison Brie, Sheila Vand, Jeremy Allen White"
16,Good Girls,7.9,,"Christina Hendricks, Retta, Mae Whitman, Reno Wilson"
17,Hamilton,8.8,Thomas Kail,"Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr., Renée Elise Goldsberry"
18,Shameless,8.6,,"Emmy Rossum, William H. Macy, Ethan Cutkosky, Jeremy Allen White"
19,The Office,8.9,,"Steve Carell, Jenna Fischer, John Krasinski, Rainn Wilson"
20,Grey's Anatomy,7.6,,"Ellen Pompeo, Chandra Wilson, James Pickens Jr., Justin Chambers"
21,Kingdom,8.4,,"Frank Grillo, Kiele Sanchez, Matt Lauria, Jonathan Tucker"
22,Lucifer,8.2,,"Tom Ellis, Lauren German, Kevin Alejandro, Lesley-Ann Brandt"
23,Vikings,8.5,,"Katheryn Winnick, Alexander Ludwig, Gustaf Skarsgård, Georgia Hirst"
24,The Walking Dead,8.2,,"Andrew Lincoln, Norman Reedus, Melissa McBride, Danai Gurira"
25,Bureikingu baddo,9.5,,"Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt"
26,The 100,7.7,,"Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington"
27,Community,8.5,,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase"
28,Norsemen,7.8,,"Kåre Conradi, Nils Jørgen Kaalstad, Jon Øigarden, Bjørn Myrene"
29,ユーロビジョン歌合戦 〜ファイア・サーガ物語〜,6.6,David Dobkin,"Will Ferrell, Rachel McAdams, Dan Stevens, Mikael Persbrandt"
30,Agents of S.H.I.E.L.D.,7.5,,"Clark Gregg, Ming-Na Wen, Brett Dalton, Iain De Caestecker"
31,Criminal Minds,8.1,,"Matthew Gray Gubler, Kirsten Vangsness, A.J. Cook, Joe Mantegna"
32,Bill & Ted Face the Music,,Dean Parisot,"Keanu Reeves, Alex Winter, Samara Weaving, Brigette Lundy-Paine"
33,Supernatural,8.4,,"Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins"
34,Schitt's Creek,8.4,,"Eugene Levy, Catherine O'Hara, Dan Levy, Annie Murphy"
35,Ozark,8.4,,"Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner"
